Wavelength,n,k
0.26049,3.43205,3.7041
0.26159,3.49606,3.64117
0.2627,3.55371,3.57757
0.26381,3.60654,3.51408
0.26494,3.65273,3.45129
0.26608,3.69534,3.38972
0.26723,3.73572,3.32935
0.26838,3.77466,3.27031
0.26955,3.81255,3.21369
0.27073,3.851,3.15591
0.27191,3.88906,3.09523
0.27311,3.9257,3.03074
0.27432,3.9592,2.96174
0.27554,3.98624,2.88868
0.27677,4.00656,2.81381
0.27801,4.02017,2.73806
0.27926,4.02559,2.66281
0.28053,4.0243,2.59006
0.2818,4.01657,2.52174
0.28309,4.00489,2.45728
0.28439,3.98902,2.39759
0.2857,3.9699,2.34234
0.28702,3.94939,2.29093
0.28835,3.92597,2.24486
0.2897,3.90179,2.20272
0.29106,3.87715,2.16454
0.29244,3.85202,2.1302
0.29382,3.82681,2.09947
0.29522,3.80272,2.07313
0.29663,3.77926,2.04943
0.29806,3.7566,2.02852
0.2995,3.73487,2.01023
0.30095,3.71427,1.99379
0.30242,3.69528,1.97977
0.3039,3.67681,1.96769
0.3054,3.6593,1.95727
0.30691,3.64294,1.94825
0.30844,3.62778,1.93981
0.30998,3.61349,1.93311
0.31154,3.60025,1.92791
0.31311,3.58797,1.92367
0.3147,3.57682,1.92011
0.31631,3.56678,1.91769
0.31793,3.55791,1.91633
0.31957,3.54997,1.91573
0.32122,3.54276,1.91584
0.3229,3.53647,1.91647
0.32459,3.53138,1.91829
0.3263,3.52709,1.92056
0.32802,3.52373,1.92347
0.32977,3.52125,1.92716
0.33153,3.51961,1.93129
0.33331,3.5191,1.93595
0.33512,3.51958,1.94137
0.33694,3.52105,1.94732
0.33878,3.52363,1.95364
0.34064,3.52704,1.96036
0.34252,3.53132,1.96789
0.34442,3.53694,1.97692
0.34635,3.5438,1.9842
0.34829,3.55161,1.99392
0.35026,3.56058,2.00292
0.35225,3.57093,2.0141
0.35426,3.58246,2.02527
0.3563,3.59541,2.03711
0.35836,3.60991,2.04836
0.36044,3.62589,2.05913
0.36255,3.64421,2.07072
0.36468,3.66468,2.08308
0.36684,3.68747,2.09605
0.36903,3.71315,2.1096
0.37124,3.74297,2.12445
0.37347,3.77707,2.14027
0.37574,3.81787,2.15726
0.37803,3.86684,2.17578
0.38035,3.92505,2.19609
0.38269,3.99982,2.21797
0.38507,4.0867,2.24157
0.38748,4.17867,2.26621
0.38991,4.26329,2.29044
0.39238,4.32937,2.30642
0.39488,4.37664,2.30637
0.39741,4.4124,2.28487
0.39998,4.44075,2.24214
0.40257,4.46702,2.18391
0.4052,4.49714,2.12482
0.40787,4.54333,2.07205
0.41057,4.61656,2.02894
0.41331,4.72058,1.99759
0.41608,4.85265,1.97753
0.41889,4.96468,1.97061
0.42174,5.02373,1.96602
0.42463,5.03903,1.94662
